id,name,category,Emirate,description,opening_hours,closed_days,best_for,price_type
152,Mleiha Archaeological Centre,museum_gallery,Sharjah,"A desert heritage site with fossil and archaeological finds, plus desert adventure activities nearby.",9:00 AM - 5:00 PM,Verify,"family, couples, solo, adventure",free
153,Kalba Corniche,beach_waterfront,Sharjah,"A quiet east-coast waterfront area in the Kalba enclave of Sharjah, popular for birdwatching.",Open 24 hours,None,"family, couples, solo",variable
154,Sharjah Botanical Garden,nature_outdoor,Sharjah,A garden showcasing native and exotic plant collections with themed sections.,8:00 AM - 6:00 PM,Verify,"family, couples, solo",NA
155,Sharjah Discovery Centre,museum_gallery,Sharjah,An interactive science and discovery museum designed for children and families.,9:00 AM - 5:00 PM,Friday morning,family,NA
156,Radisson Blu Resort Sharjah,hotel_resort,Sharjah,A beachfront resort hotel on the Sharjah Corniche.,24 hours (hotel),None,"family, couples",NA
157,Sheraton Sharjah Beach Resort,hotel_resort,Sharjah,A beachfront hotel offering resort-style amenities in Sharjah.,24 hours (hotel),None,"family, couples",free
158,Saqr Park,nature_outdoor,Ras Al Khaimah,A popular green space in central RAK with recreational facilities.,8:00 AM - 10:00 PM,None,"family, couples",free
159,Al Hamra Village,landmark,Ras Al Khaimah,"A waterfront community with a marina, golf course, and dining options.",Open 24 hours (outdoor areas),None,"family, couples, business travel",free
160,Al Wadi Desert,nature_outdoor,Ras Al Khaimah,A protected desert reserve offering wildlife spotting and desert activities near a luxury resort.,Verify tour times,None,"couples, adventure, family",free
161,Wadi Shawka,nature_outdoor,Ras Al Khaimah,A mountain wadi popular for hiking and seasonal pools after rainfall.,Daylight hours,Weather dependent,"couples, solo, adventure, friends",free
162,RAK Corniche,beach_waterfront,Ras Al Khaimah,A waterfront promenade in RAK city popular for evening walks.,Open 24 hours,None,"family, couples",NA
163,Waldorf Astoria Ras Al Khaimah,hotel_resort,Ras Al Khaimah,A luxury beachfront resort on Al Marjan Island.,24 hours (hotel),None,"couples, family, business travel",NA
164,Hilton Al Hamra Beach Resort,hotel_resort,Ras Al Khaimah,A beach resort with golf course access in Al Hamra Village.,24 hours (hotel),None,"family, couples",free
165,InterContinental Ras Al Khaimah Resort,hotel_resort,Ras Al Khaimah,A beachfront resort hotel with multiple dining and leisure options.,24 hours (hotel),None,"family, couples, business travel",variable
166,Fujairah Corniche,beach_waterfront,Fujairah,A waterfront promenade in Fujairah city popular for walking and views of the Gulf of Oman.,Open 24 hours,None,"family, couples",variable
167,Madhab Gorge,nature_outdoor,Fujairah,A mountain gorge with hiking trails and seasonal pools in the Fujairah interior.,Daylight hours,Weather dependent,"couples, solo, adventure, friends",NA
168,Wadi Al Bih,nature_outdoor,Fujairah,A scenic mountain wadi on the Fujairah-RAK border popular for off-road driving and hiking.,Daylight hours,Weather dependent,"adventure, friends, couples",NA
169,Dibba,landmark,Fujairah,"A coastal town split across three emirates, known for its port, beaches, and access to Musandam boat trips.",Open 24 hours (town/beach areas),None,"family, couples, adventure",NA
170,Fujairah Friday Market,shopping,Fujairah,"A roadside market along the Sharjah-Fujairah mountain road, known for pottery, fruit, and local goods.",8:00 AM - 8:00 PM,None,"family, friends, solo",free
171,Le Meridien Al Aqah Beach Resort,hotel_resort,Fujairah,A beachfront resort near Snoopy Island popular for diving and family stays.,24 hours (hotel),None,"family, couples",free
172,Fairmont Fujairah Beach Resort,hotel_resort,Fujairah,A beachfront resort offering diving excursions and family facilities.,24 hours (hotel),None,"family, couples",NA
173,Ajman Marina,beach_waterfront,Ajman,A waterfront marina district with dining and walking paths.,Open 24 hours (outdoor),None,"family, couples, friends",free
174,Al Zorah Golf Club,adventure_sports,Ajman,"A golf course within the Al Zorah development, set against mangroves and coastline.",Verify tee times,None,"couples, business travel, friends",NA
175,Ajman Kids Park,theme_entertainment,Ajman,A family-oriented park with play areas and green space.,8:00 AM - 10:00 PM,None,family,NA
176,"Ajman Saray, a Luxury Collection Resort",hotel_resort,Ajman,A beachfront luxury resort in Ajman with extensive leisure facilities.,24 hours (hotel),None,"family, couples",NA
177,Fairmont Ajman,hotel_resort,Ajman,A beachfront hotel offering resort-style amenities.,24 hours (hotel),None,"family, couples, business travel",NA
178,Ramada Beach Hotel Ajman,hotel_resort,Ajman,A beachfront mid-range hotel option in Ajman.,24 hours (hotel),None,"family, solo, couples",NA
179,UAQ Corniche,beach_waterfront,Umm Al Quwain,A quiet waterfront promenade in Umm Al Quwain city.,Open 24 hours,None,"family, couples, solo",NA
180,Al Salam Park UAQ,nature_outdoor,Umm Al Quwain,A local park offering green space and family recreation areas.,8:00 AM - 10:00 PM,None,family,NA
181,Palma Beach Resort,hotel_resort,Umm Al Quwain,A quiet beachfront resort offering a relaxed alternative to busier emirates.,24 hours (hotel),None,"family, couples",NA
182,Flamingo Beach UAQ,beach_waterfront,Umm Al Quwain,A coastal area known for seasonal flamingo sightings.,Daylight hours,Seasonal,"couples, solo, family",NA
183,Beach Rotana Abu Dhabi,hotel_resort,Abu Dhabi,A beachfront hotel on the Abu Dhabi Corniche with multiple dining venues.,24 hours (hotel),None,"family, couples, business travel",NA
184,Yas Island Rotana,hotel_resort,Abu Dhabi,"A hotel on Yas Island close to the theme parks, popular with families.",24 hours (hotel),None,"family, friends",NA
185,Centro Yas by Rotana,hotel_resort,Abu Dhabi,"An affordable, modern hotel option on Yas Island.",24 hours (hotel),None,"solo, business travel, family",NA
186,Al Ain Rotana,hotel_resort,Abu Dhabi,A hotel in Al Ain popular with visitors to the oasis and zoo.,24 hours (hotel),None,"family, business travel",NA
187,Media Rotana Dubai,hotel_resort,Dubai,A business-district hotel popular with media and corporate travelers.,24 hours (hotel),None,"business travel, solo",NA
188,City Centre Rotana Dubai,hotel_resort,Dubai,"A hotel connected to Deira City Centre mall, convenient for shopping and dining.",24 hours (hotel),None,"business travel, family",NA
189,Rixos Premium Dubai JBR,hotel_resort,Dubai,A beachfront resort hotel on Jumeirah Beach Residence.,24 hours (hotel),None,"family, couples",NA
190,Sofitel Dubai The Palm,hotel_resort,Dubai,A beachfront resort on Palm Jumeirah with extensive leisure facilities.,24 hours (hotel),None,"family, couples",NA
191,Tashas,restaurant_cafe,Dubai,A popular South African-origin all-day dining cafe chain with several Dubai locations.,8:00 AM - 11:00 PM,None,"friends, family, solo",NA
192,Comptoir 102,restaurant_cafe,Dubai,A boutique concept-store cafe in Jumeirah popular for brunch.,9:00 AM - 6:00 PM,None,"friends, couples, solo",NA
193,Reif Japanese Kushiyaki,restaurant_cafe,Dubai,A Japanese grill restaurant known for skewers and izakaya-style dining.,6:00 PM - 1:00 AM,None,"friends, couples",NA
194,Karak House,restaurant_cafe,Dubai,"A casual UAE-origin cafe chain known for karak tea and local snacks, with many branches.",7:00 AM - 1:00 AM,None,"friends, solo, family",NA
195,Copthorne Hotel Sharjah,hotel_resort,Sharjah,A centrally located hotel near Sharjah's heritage area.,24 hours (hotel),None,"business travel, family",NA
196,Four Points by Sheraton Sharjah,hotel_resort,Sharjah,A modern hotel option in central Sharjah.,24 hours (hotel),None,"business travel, solo",NA
197,Sharjah Golf and Shooting Club,adventure_sports,Sharjah,A golf and recreational sports club in Sharjah.,Verify tee times,None,"couples, business travel, friends",variable
198,City Centre Ajman,shopping,Ajman,"A major mall in Ajman with retail, dining, and a cinema.",10:00 AM - 10:00 PM,None,"family, friends",NA
199,Ajman China Mall,shopping,Ajman,A large wholesale and retail mall known for affordable goods and variety.,10:00 AM - 10:00 PM,None,"family, friends, solo",NA
200,Al Tallah Camel Race Course,adventure_sports,Ajman,"A traditional camel racing track, offering visitors a glimpse of Emirati sporting heritage.","Early morning race days, verify schedule",Verify,"family, couples, solo, adventure",free
201,Hamidiya Mosque,heritage_culture,Ajman,A notable historic mosque in Ajman.,Verify visiting hours,Friday morning,"family, couples, solo",free
202,Radisson Blu Hotel Ajman,hotel_resort,Ajman,A beachfront luxury hotel near City Centre Ajman.,24 hours (hotel),None,"family, couples, business travel",NA
203,Wyndham Garden Ajman Corniche,hotel_resort,Ajman,A beachfront hotel with pool and health club near the Ajman Corniche.,24 hours (hotel),None,"family, couples",NA
204,Kempinski Hotel Ajman,hotel_resort,Ajman,A beachfront luxury resort in Ajman.,24 hours (hotel),None,"family, couples, business travel",NA
205,Ajman Saif Restaurant,restaurant_cafe,Ajman,A restaurant well known locally for its meat biryanis.,11:00 AM - 12:00 AM,None,"family, friends, solo",NA
206,Marasea Restaurant,restaurant_cafe,Ajman,"A seafood-forward restaurant serving Middle Eastern, Portuguese, Lebanese, and Asian dishes.",1:00 PM - 12:00 AM,None,"couples, friends, family",NA
207,Ajman Fish Souk,shopping,Ajman,A traditional fish market popular for fresh catch and a lively local atmosphere.,6:00 AM - 10:00 PM,None,"solo, friends, family",free
208,Mall of UAQ,shopping,Umm Al Quwain,"A mall anchored by a large hypermarket, cinema, and family dining options.",10:00 AM - 10:00 PM,None,"family, friends",NA
209,Little Bavaria & Beach Garten,restaurant_cafe,Umm Al Quwain,A Bavarian-themed beachside restaurant with a beer garden and German cuisine.,1:00 PM - 12:00 AM,None,"friends, couples",NA
210,Bait Al Mandi,restaurant_cafe,Umm Al Quwain,"A restaurant serving authentic Yemeni cuisine, known for its mandi rice dishes.",12:00 PM - 12:00 AM,None,"family, friends",NA
211,Thalassery Restaurant,restaurant_cafe,Umm Al Quwain,An Indian restaurant known for South Indian dishes.,11:00 AM - 11:00 PM,None,"family, friends, solo",NA
212,Vida Beach Resort Umm Al Quwain,hotel_resort,Umm Al Quwain,A beachfront resort offering modern rooms and leisure facilities.,24 hours (hotel),None,"family, couples",NA
213,Pearl Hotel & Spa,hotel_resort,Umm Al Quwain,A beachfront hotel with spa facilities in the Al Hamra area of UAQ.,24 hours (hotel),None,"couples, family",NA
214,The Zoo Wild Life Park,theme_entertainment,Umm Al Quwain,A wildlife park in Umm Al Quwain offering animal encounters.,9:00 AM - 6:00 PM,Verify,family,NA
215,Umm Al Qwain Open Beach,beach_waterfront,Umm Al Quwain,A public open beach popular with locals and visitors for a quieter coastal experience.,Open 24 hours,None,"family, couples, solo",NA
216,Manar Mall,shopping,Ras Al Khaimah,"A shopping mall in Ras Al Khaimah with retail, dining, and entertainment.",10:00 AM - 10:00 PM,None,"family, friends",variable
217,RAK National Museum Fort,museum_gallery,Ras Al Khaimah,"Housed in a historic fort, showcasing RAK's archaeology and Emirati heritage (same complex as the National Museum).",9:00 AM - 5:00 PM,Verify,"family, couples, solo",free
218,Al Rams,landmark,Ras Al Khaimah,"A traditional fishing village in RAK, known for dhow building and quiet coastal scenery.",Open 24 hours (village/coastal area),None,"couples, solo, family",NA
219,Al Bithnah Fort,heritage_culture,Fujairah,"A historic fort in Fujairah's interior, notable for its defensive architecture.",8:00 AM - 5:00 PM,Verify,"couples, solo, family",variable
220,Fujairah Adventure Centre,adventure_sports,Fujairah,"An outdoor adventure hub offering hiking, biking, and team activities in the mountains.",Verify tour times,None,"adventure, friends, family",NA
221,Miramar Al Aqah Beach Resort,hotel_resort,Fujairah,A beachfront resort near Snoopy Island popular for diving trips.,24 hours (hotel),None,"family, couples",free
222,Mega Mall Sharjah,shopping,Sharjah,"A shopping mall in Sharjah with retail, dining, and family entertainment.",10:00 AM - 10:00 PM,None,"family, friends",free
223,Kalba Kingfisher Trail,nature_outdoor,Sharjah,"A mangrove boardwalk trail in Kalba popular for birdwatching, notably kingfishers.",7:00 AM - 6:00 PM,None,"couples, solo, family",free
224,Al Qasimia University area heritage walk,heritage_culture,Sharjah,A heritage walking area showcasing Sharjah's academic and architectural history.,Open daytime hours,Verify,"solo, couples",NA
225,Dubai Marina Walk,beach_waterfront,Dubai,A scenic waterfront promenade along Dubai Marina lined with cafes and skyscraper views.,Open 24 hours,None,"family, couples, friends",free
226,Dubai Spice Souk,shopping,Dubai,"A historic covered market in Deira selling spices, herbs, and Arabian goods.",9:00 AM - 10:00 PM,None,"family, couples, solo, friends",free
227,Dubai Gold Souk,shopping,Dubai,A traditional market in Deira famous for its dense concentration of gold and jewelry shops.,10:00 AM - 10:00 PM,None,"family, couples, friends",free
228,The Beach at JBR,beach_waterfront,Dubai,"An open-air mall and beachfront promenade with retail, dining, and beach access.",10:00 AM - 11:00 PM,None,"family, couples, friends",free
229,AquaFun Dubai,theme_entertainment,Dubai,"A large inflatable water obstacle course off JBR beach, a Guinness World Record holder for size.",9:00 AM - 6:00 PM,None,"family, friends, adventure",variable
230,Dhow Cruise Dubai Marina,adventure_sports,Dubai,A traditional wooden boat dinner cruise along Dubai Marina with live entertainment.,"Evening departures, verify times",None,"couples, family, friends",variable
231,Ashiana by Vineet,restaurant_cafe,Dubai,"A refined North Indian restaurant at Sheraton Deira known for consistent, high-quality classics.",1:00 PM - 11:00 PM,None,"couples, business travel, family",NA
232,Zaroob DIFC,restaurant_cafe,Dubai,A Dubai-born Levantine casual dining chain with a DIFC location popular for lunch.,10:00 AM - 1:00 AM,None,"friends, solo, business travel",NA
233,Al Quoz Art Cafes,restaurant_cafe,Dubai,"A cluster of trendy cafes in the Al Quoz arts district, popular with creatives and coffee lovers.",8:00 AM - 8:00 PM,Verify,"solo, couples, friends",NA
234,VR Park Dubai Mall,theme_entertainment,Dubai,A virtual reality entertainment zone inside Dubai Mall.,10:00 AM - 10:00 PM,None,"friends, family",variable
235,Lost Chambers Aquarium,theme_entertainment,Dubai,"An aquarium at Atlantis The Palm themed around a lost city, with marine life exhibits.",10:00 AM - 10:00 PM,None,"family, couples, friends",variable
236,Deira Old Souk Abra Station,heritage_culture,Dubai,A traditional water-taxi (abra) crossing point on Dubai Creek connecting Deira and Bur Dubai.,6:00 AM - 12:00 AM,None,"family, couples, solo",free
237,Saadiyat Cultural District,landmark,Abu Dhabi,The cultural district on Saadiyat Island housing Louvre Abu Dhabi and future museum projects.,Varies by venue,Varies,"family, couples, solo",free
238,World Trade Center Mall Abu Dhabi,shopping,Abu Dhabi,A central mall combined with a traditional-style souk section.,10:00 AM - 10:00 PM,None,"family, friends",NA
239,Al Ain National Museum,museum_gallery,Abu Dhabi,A museum in Al Ain covering the region's archaeology and heritage.,9:00 AM - 5:00 PM,Verify,"family, couples, solo",variable
240,Corniche Abu Dhabi Cycle Track,adventure_sports,Abu Dhabi,A long dedicated cycling and walking track along the Abu Dhabi Corniche.,Open 24 hours,None,"couples, solo, friends, adventure",NA
241,Talea by Antonio Guida,restaurant_cafe,Abu Dhabi,"An upscale Italian restaurant by a Michelin-starred chef, located in Abu Dhabi.",6:00 PM - 11:30 PM,None,"couples, business travel",NA
242,Al Hamra Mall,shopping,Ras Al Khaimah,"A mall in Al Hamra Village with retail, dining, and cinema.",10:00 AM - 10:00 PM,None,"family, friends",NA
243,Safari Mall Ras Al Khaimah,shopping,Ras Al Khaimah,"A mall with around 40 stores offering shopping, dining, and leisure in central RAK.",10:00 AM - 10:00 PM,None,"family, friends",NA
244,RAK Track,adventure_sports,Ras Al Khaimah,A go-kart racing track offering rental and professional karting experiences.,10:00 AM - 10:00 PM,Verify,"friends, adventure, family",NA
245,RAK Nature's Treasures,museum_gallery,Ras Al Khaimah,"A private collection museum featuring gemstones, fossils, taxidermy, and natural history items.",9:00 AM - 6:00 PM,Verify,"family, couples, solo",NA
246,India Palace RAK,restaurant_cafe,Ras Al Khaimah,A popular Indian restaurant inside a RAK mall known for curry dishes.,12:00 PM - 11:00 PM,None,"family, friends",NA
247,Madfoon Al Sadda,restaurant_cafe,Ras Al Khaimah,"A highly reviewed restaurant in RAK known for madfoon, a traditional buried-cooking meat dish.",1:00 PM - 12:00 AM,None,"family, friends, solo",NA
248,Fujairah Mall,shopping,Fujairah,"A mall in Fujairah with retail, dining, and a cinema.",10:00 AM - 10:00 PM,None,"family, friends",NA
249,Fujairah City Centre,shopping,Fujairah,A shopping mall with a range of retail and dining options in Fujairah.,10:00 AM - 10:00 PM,None,"family, friends",NA
250,Emirates Sea Restaurant,restaurant_cafe,Fujairah,A Corniche-street seafood restaurant blending Indian flavors with continental dishes.,12:00 PM - 12:00 AM,None,"family, friends",NA
251,Sadaf Restaurant,restaurant_cafe,Fujairah,An Iranian restaurant on Fujairah's Corniche Street.,1:00 PM - 12:00 AM,None,"family, friends, couples",NA
252,MADO Restaurant Fujairah,restaurant_cafe,Fujairah,A Turkish restaurant at Fujairah City Centre known for its live bakery and desserts.,10:00 AM - 12:00 AM,None,"family, friends, couples",NA
253,Al Fanar Restaurant & Cafe Sharjah,restaurant_cafe,Sharjah,"A heritage-style Emirati restaurant opposite Al Majaz Waterfront, recreating 1960s UAE decor.",8:00 AM - 12:00 AM,None,"family, friends, couples",NA
254,CAYA Al Majaz,restaurant_cafe,Sharjah,A chic coastal-style cafe at Al Majaz known for healthy bowls and late-night live music.,9:00 AM - 1:00 AM,None,"friends, couples, solo",NA
255,Sebastian's Al Khan,restaurant_cafe,Sharjah,A restaurant in the Al Khan area known for creative international dishes.,1:00 PM - 12:00 AM,None,"couples, friends",NA
256,Gazebo Restaurant Sharjah,restaurant_cafe,Sharjah,A well-reviewed Indian restaurant popular in Sharjah's dining scene.,12:00 PM - 12:00 AM,None,"family, friends",NA
257,Fish Market Sharjah,restaurant_cafe,Sharjah,A seafood restaurant where guests select fresh fish to be cooked to order.,1:00 PM - 12:00 AM,None,"family, friends, couples",NA
258,Novotel Sharjah Expo Centre,hotel_resort,Sharjah,"A hotel connected to the Sharjah Expo Centre, popular with business travelers.",24 hours (hotel),None,"business travel, solo",variable
259,DoubleTree by Hilton Sharjah Waterfront,hotel_resort,Sharjah,A waterfront hotel with resort-style amenities in Sharjah.,24 hours (hotel),None,"family, couples, business travel",free
260,Pullman Sharjah,hotel_resort,Sharjah,A modern hotel option in Sharjah suited to business and leisure travelers.,24 hours (hotel),None,"business travel, family",NA
261,Occidental Sharjah Grand,hotel_resort,Sharjah,A centrally located hotel in Sharjah with easy access to the airport and city.,24 hours (hotel),None,"business travel, family",NA
262,Sharjah City Centre,shopping,Sharjah,A mall with a wide food court and family dining options in Sharjah.,10:00 AM - 10:00 PM,None,"family, friends",variable
263,Maritime Museum Sharjah,museum_gallery,Sharjah,A museum dedicated to Sharjah's seafaring and pearl-diving heritage.,8:00 AM - 8:00 PM,Verify,"family, couples, solo",variable
264,Buhaira Corniche,beach_waterfront,Sharjah,A scenic waterfront corniche along Khalid Lagoon in Sharjah.,Open 24 hours,None,"family, couples, solo",free
265,Talise Spa at Burj Al Arab,hotel_resort,Dubai,A luxury spa within Burj Al Arab offering panoramic Gulf views and bespoke treatments.,9:00 AM - 10:00 PM,None,"couples, solo",free
266,Al Maha Desert Resort Spa,hotel_resort,Dubai,"A desert sanctuary spa within a wildlife reserve, popular for couples and honeymooners.",9:00 AM - 9:00 PM,None,couples,variable
267,Roar Adventure Tourism Desert Safari,adventure_sports,Dubai,"A licensed desert safari operator offering dune bashing, camel rides, and BBQ dinners with a sustainability focus.","Afternoon/evening tours, verify times",None,"family, friends, adventure",variable
268,Emirates Desert Tours,adventure_sports,Dubai,A desert safari operator running private camps offering dune bashing and cultural entertainment.,"Afternoon/evening tours, verify times",None,"family, friends, adventure",variable
269,Love Lake Desert Experience,nature_outdoor,Dubai,A heart-shaped desert lake popular for sunrise/sunset visits and desert wellness activities.,Daylight/sunset hours,None,"couples, solo",NA
270,Dubai Desert Conservation Reserve,nature_outdoor,Dubai,"A protected reserve home to Arabian oryx and other native wildlife, with limited licensed safari access.","Tour-based access, verify",None,"couples, adventure, family",NA
271,Xtreme Sightseeing Tourism Desert Safari,adventure_sports,Abu Dhabi,"A licensed Abu Dhabi desert safari operator offering dune bashing, camel rides, and BBQ dinners.","Morning/evening tours, verify times",None,"family, friends, adventure",free
272,Dunez Abu Dhabi Desert Safari,adventure_sports,Abu Dhabi,"A desert safari operator offering dune bashing, sandboarding, and buffet dinner packages.","Morning/evening tours, verify times",None,"family, friends, adventure",variable
273,Emirates Tours & Safari Abu Dhabi,adventure_sports,Abu Dhabi,An award-winning Abu Dhabi desert safari and city tour operator.,"Morning/evening tours, verify times",None,"family, friends, adventure",variable
274,Anantara Spa Qasr Al Sarab,hotel_resort,Abu Dhabi,A luxury desert resort spa in the Liwa/Empty Quarter area of Abu Dhabi.,9:00 AM - 9:00 PM,None,couples,variable
275,Bab Al Shams Desert Spa,hotel_resort,Abu Dhabi,A desert resort spa offering treatments amid dune scenery outside Abu Dhabi.,9:00 AM - 9:00 PM,None,couples,variable
276,Liwa Oasis,nature_outdoor,Abu Dhabi,"A vast desert oasis region in Abu Dhabi's Al Dhafra area, known for towering dunes and date palm groves.",Daylight hours (self-drive/tour access),None,"couples, solo, adventure, family",variable
277,Desert Safari Ras Al Khaimah (SunCity Tours),adventure_sports,Ras Al Khaimah,"A desert safari operator in RAK offering dune bashing, mountain safari, and romantic dune dinners in Al Wadi Desert.","Morning/evening tours, verify times",None,"family, friends, adventure, couples",variable
278,RAK Mountain Safari,adventure_sports,Ras Al Khaimah,A 4x4 mountain safari tour up RAK's highest mountain terrain with an experienced off-road guide.,Verify tour times,None,"adventure, friends, couples",variable
279,Camel Ride Tour Al Wadi Desert,adventure_sports,Ras Al Khaimah,A camel trekking experience across the red dunes of Al Wadi Desert in RAK.,"Morning/evening, verify times",None,"family, couples, solo",free
280,Fujairah Mountain Safari,adventure_sports,Fujairah,A 4x4 off-road tour through Fujairah's Hajar Mountain terrain and wadis.,Verify tour times,None,"adventure, friends, couples",NA
281,Dibba Musandam Dhow Cruise,adventure_sports,Fujairah,"A boat cruise from Dibba into the Musandam fjords, popular for dolphin watching and snorkeling.","Morning departures, verify times",None,"family, couples, friends, adventure",paid
282,Zerzura Desert Safari Mleiha,adventure_sports,Sharjah,A boutique self-drive dune buggy and private desert dining operator inside protected Mleiha National Park.,"October-onwards seasonal, verify",Seasonal,"couples, friends, adventure",variable
283,Maliha Desert Safari,adventure_sports,Sharjah,"A private desert safari operator in Mleiha offering dune bashing, camel rides, and Bedouin camp dinners.","Morning/evening tours, verify times",None,"family, friends, couples, adventure",free
284,Camel Rock Mleiha,nature_outdoor,Sharjah,"A wind-sculpted sandstone formation resembling a camel, a notable stop on Mleiha desert tours.",Daylight hours (tour access),None,"family, couples, solo, adventure",free
285,Ravi Restaurant Karama,restaurant_cafe,Dubai,A Karama-area sister branch of the long-running Ravi restaurant chain.,8:00 AM - 2:00 AM,None,"solo, friends, family",free
287,Al Ain Paradise Amusement Park,theme_entertainment,Abu Dhabi,A family amusement park in Al Ain with rides and green picnic areas.,4:00 PM - 11:00 PM,None,"family, friends",NA
288,Mushrif Palace Park,nature_outdoor,Abu Dhabi,"A large park in Al Ain themed around a historic palace, with train rides and gardens.",9:00 AM - 11:00 PM,None,family,NA
289,Wahat Al Karama,landmark,Abu Dhabi,"A national memorial honoring UAE's fallen soldiers, featuring large stainless-steel sculptures.",9:00 AM - 10:00 PM,None,"family, couples, solo",NA
290,Al Wathba Wetland Reserve,nature_outdoor,Abu Dhabi,A wetland reserve near Abu Dhabi known for flamingo sightings and birdwatching.,7:00 AM - 5:00 PM,None,"couples, solo, family",variable
291,Ripe Market Dubai,shopping,Dubai,A seasonal outdoor farmers and lifestyle market held in various Dubai locations.,"Weekend mornings, verify schedule",Weekdays (seasonal market),"family, friends, couples",free
292,Times Square Center Dubai,shopping,Dubai,A mid-size mall in Dubai with retail and dining options.,10:00 AM - 10:00 PM,None,"family, friends",variable
293,Nakheel Mall,shopping,Dubai,A mall on Palm Jumeirah with a large indoor family entertainment zone and observation deck.,10:00 AM - 10:00 PM,None,"family, friends",variable
294,City Walk Dubai,shopping,Dubai,An open-air retail and dining boulevard in Dubai with a modern urban design.,10:00 AM - 11:00 PM,None,"family, couples, friends",NA
295,Sharjah Aquatic Centre,adventure_sports,Sharjah,A public aquatic and swimming facility in Sharjah.,6:00 AM - 10:00 PM,Verify,"family, friends",variable
296,Al Dhaid Friday Market,shopping,Sharjah,"A large roadside market in Al Dhaid known for produce, plants, and pottery.",8:00 AM - 8:00 PM,None,"family, friends, solo",variable
297,Barjeel Art Foundation,museum_gallery,Sharjah,An art gallery in Sharjah showcasing modern and contemporary Arab art.,10:00 AM - 8:00 PM,Friday morning,"couples, solo",variable
298,Al Jazeera Al Hamra Ghost Town Night Tour,heritage_culture,Ras Al Khaimah,"A guided evening tour through the abandoned pearling village, focused on its history and folklore.","Evening tours, verify schedule",None,"couples, friends, solo",variable
299,Iceland Water Park VIP Cabana,theme_entertainment,Ras Al Khaimah,Premium cabana experience option at RAK's Iceland Water Park.,10:00 AM - 6:00 PM,None,"family, couples, friends",variable
300,Sandy Beach Hotel & Resort,hotel_resort,Fujairah,A dive-focused beach resort near Snoopy Island with its own house reef.,24 hours (hotel),None,"family, couples, adventure",variable
301,Skydive Dubai,adventure_sports,Dubai,"Real tandem skydiving over Palm Jumeirah and the Dubai coastline, a genuine jump not a simulator.","Morning slots, verify booking times",None,"adventure, friends, solo",variable
302,Al Marmoom Desert Camping,adventure_sports,Dubai,Overnight desert camping experience in Al Marmoom Reserve with stargazing and traditional Bedouin-style tents.,"Evening check-in, verify times",None,"family, friends, couples, adventure",NA
303,1000 Nights Camp Overnight Safari,adventure_sports,Dubai,"An overnight desert camp offering traditional dinner, entertainment, and Bedouin-style tent stays in Dubai's desert.","Evening check-in, verify times",None,"family, friends, couples, adventure",free
304,Dubai Autodrome Karting,adventure_sports,Dubai,A professional go-karting circuit in Dubai open to visitors for racing sessions.,10:00 AM - 10:00 PM,None,"friends, adventure, solo",free
305,Dune Buggy Drifting Dubai Desert,adventure_sports,Dubai,"Self-drive dune buggy tours through Dubai's desert dunes, popular for adrenaline-focused visitors.","Morning/afternoon sessions, verify times",None,"friends, adventure, solo",free
306,Sandboarding Dubai Desert,adventure_sports,Dubai,"Sandboarding down desert dunes, usually offered as an add-on during desert safari tours.","Afternoon/evening tours, verify times",None,"family, friends, adventure",free
307,Skydive Abu Dhabi (Al Ain Zone),adventure_sports,Abu Dhabi,"Real tandem skydiving over Al Ain, offering desert and mountain views during descent.","Morning slots, verify booking times",None,"adventure, friends, solo",free
308,Qasr Al Sarab Desert Camping,hotel_resort,Abu Dhabi,"Overnight desert camping near the Liwa dunes, combining traditional camp stays with luxury touches.","Evening check-in, verify times",None,"couples, family, adventure",free
309,Yas Beach,beach_waterfront,Abu Dhabi,"Private beach on Yas Island offering soft sand, calm waters, water sports, and relaxing seaside facilities.","Generally 10:00am-7:00pm, verify seasonal schedule",None,"family, friends, couples, solo",variable
310,Hudayriyat Island,beach_waterfront,Abu Dhabi,"Large leisure and recreation island in Abu Dhabi featuring beaches, cycling tracks, sports facilities, parks, and waterfront attractions.",Open 24 hours; individual facilities have separate hours,None,"family, friends, couples, adventure, solo",variable
311,Delma Island,nature_outdoor,Abu Dhabi,"Historic island off Abu Dhabi's western coast known for traditional Emirati heritage, beaches, and archaeological sites.",Generally accessible throughout the day; ferry and attraction schedules vary,None,"family, friends, couples, adventure, solo",variable
312,Al Qana,beach_waterfront,Abu Dhabi,"Waterfront entertainment destination in Abu Dhabi featuring restaurants, cafés, an aquarium, cinemas, and recreational attractions.",Generally 10:00am-12:00am; individual venues vary,None,"family, friends, couples, solo",variable
313,Yas Bay Waterfront,beach_waterfront,Abu Dhabi,"Lively waterfront district on Yas Island featuring restaurants, entertainment venues, hotels, and views of the marina.",Generally open daily from morning until late night; individual venues vary,None,"family, friends, couples, solo, business travel",variable
314,Kite Beach,beach_waterfront,Dubai,"Popular public beach in Dubai known for its wide sandy shoreline, jogging track, water sports, and views of Burj Al Arab.",Open 24 hours; retail and leisure venues generally 10:00am-10:00pm,None,"family, friends, couples, adventure, solo",variable
315,Dubai Butterfly Garden,theme_entertainment,Dubai,Indoor butterfly garden in Dubai housing thousands of butterflies in climate-controlled domes filled with plants and flowers.,"Generally 9:00am-6:00pm, verify current schedule",None,"family, friends, couples, solo",variable
